what,kind,bundleId,bundleVersion,description,time
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362877295903
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1362877309179
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877309576
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877324483
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1362877325747
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1362877536970
error,log,,,"The variable activeWorkbenchWindow.activePerspective is not defined",1362877538004
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877544027
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877548241
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877548334
executed,command,org.eclipse.egit.ui,1.0.0.201106090707-r,"org.eclipse.egit.ui.team.Commit",1362877578247
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877578260
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362877578778
